Absolute path,Relative path,Class label
C:/PD/PythonPD/PD_Lab4/dataset\0000.txt,0000.txt,dataset
C:/PD/PythonPD/PD_Lab4/dataset\0001.txt,0001.txt,dataset
C:/PD/PythonPD/PD_Lab4/dataset\0002.txt,0002.txt,dataset
C:/PD/PythonPD/PD_Lab4/dataset\0003.txt,0003.txt,dataset
C:/PD/PythonPD/PD_Lab4/dataset\0004.txt,0004.txt,dataset
C:/PD/PythonPD/PD_Lab4/dataset\0005.txt,0005.txt,dataset
C:/PD/PythonPD/PD_Lab4/dataset\0006.txt,0006.txt,dataset
C:/PD/PythonPD/PD_Lab4/dataset\0007.txt,0007.txt,dataset
C:/PD/PythonPD/PD_Lab4/dataset\0008.txt,0008.txt,dataset
C:/PD/PythonPD/PD_Lab4/dataset\0009.txt,0009.txt,dataset
C:/PD/PythonPD/PD_Lab4/dataset\1234.csv,1234.csv,dataset
